Reading training examples... 54 examples, 23058 tokens, 12 features, 25 classes... done
Iter 77: *(NumConst=77, SV=48, CEps=208.9394, QPEps=38.1468)
Iter 78: .........*(NumConst=78, SV=48, CEps=1125.4185, QPEps=36.8259)
Iter 79: *(NumConst=79, SV=45, CEps=465.9218, QPEps=41.8622)
Iter 80: *(NumConst=80, SV=49, CEps=235.6790, QPEps=40.7692)
Iter 81: .........*(NumConst=81, SV=50, CEps=1566.9821, QPEps=32.7704)
Iter 82: *(NumConst=82, SV=52, CEps=357.5918, QPEps=28.8226)
Iter 83: *(NumConst=83, SV=50, CEps=226.5532, QPEps=26.5339)
Iter 84: .........*(NumConst=84, SV=50, CEps=1611.2384, QPEps=32.6638)
Iter 85: *(NumConst=85, SV=51, CEps=399.1198, QPEps=43.5510)
Iter 86: .........*(NumConst=86, SV=52, CEps=1267.4047, QPEps=43.4235)
Iter 87: *(NumConst=85, SV=52, CEps=275.2123, QPEps=45.7327)
Iter 88: *(NumConst=86, SV=54, CEps=213.2400, QPEps=47.0720)
Iter 89: *(NumConst=87, SV=57, CEps=227.2860, QPEps=48.4327)
Iter 90: *(NumConst=88, SV=56, CEps=196.4699, QPEps=44.9743)
Iter 91: .........*(NumConst=89, SV=56, CEps=3759.5141, QPEps=31.0436)
Iter 92: .........*(NumConst=90, SV=55, CEps=2462.7998, QPEps=43.9451)
Iter 93: .........*(NumConst=91, SV=57, CEps=1543.1961, QPEps=36.8190)
Iter 94: *(NumConst=92, SV=56, CEps=164.8003, QPEps=46.0182)
Iter 95: .........*(NumConst=93, SV=54, CEps=1286.5972, QPEps=43.9125)
Iter 96: *(NumConst=93, SV=53, CEps=306.7161, QPEps=47.5764)
Iter 97: *(NumConst=94, SV=51, CEps=136.8197, QPEps=47.7175)
Iter 98: .........*(NumConst=94, SV=51, CEps=1170.6489, QPEps=49.3967)
Iter 99: *(NumConst=95, SV=48, CEps=374.0082, QPEps=39.4951)
Iter 100: *(NumConst=95, SV=49, CEps=134.9275, QPEps=35.4211)
Iter 101: *(NumConst=96, SV=50, CEps=147.8351, QPEps=39.5591)
Iter 102: .........*(NumConst=96, SV=56, CEps=996.3065, QPEps=48.2781)
Iter 103: *(NumConst=96, SV=57, CEps=167.2595, QPEps=45.1592)
Iter 104: *(NumConst=97, SV=58, CEps=99.7193, QPEps=44.6734)
Iter 105: .........*(NumConst=98, SV=59, CEps=1413.7413, QPEps=40.4457)
Iter 106: *(NumConst=99, SV=59, CEps=147.8138, QPEps=39.2238)
Iter 107: .........*(NumConst=100, SV=54, CEps=981.5088, QPEps=42.5065)
Iter 108: *(NumConst=101, SV=61, CEps=164.1149, QPEps=37.9634)
Iter 109: *(NumConst=100, SV=60, CEps=215.7607, QPEps=49.2020)
Iter 110: .........*(NumConst=101, SV=62, CEps=1349.6980, QPEps=47.3991)
Iter 111: .........*(NumConst=101, SV=60, CEps=1021.2787, QPEps=43.1367)
Iter 112: *(NumConst=102, SV=61, CEps=182.3368, QPEps=49.2381)
Iter 113: .........*(NumConst=103, SV=62, CEps=1260.0266, QPEps=49.5607)
Iter 114: *(NumConst=102, SV=62, CEps=133.9637, QPEps=42.0234)
Iter 115: .........*(NumConst=103, SV=61, CEps=890.4511, QPEps=48.1157)
Iter 116: *(NumConst=103, SV=60, CEps=212.0245, QPEps=41.6142)
Iter 117: *(NumConst=103, SV=63, CEps=99.5195, QPEps=45.7140)
Iter 118: .........*(NumConst=104, SV=64, CEps=1016.2291, QPEps=44.0170)
Iter 119: *(NumConst=105, SV=63, CEps=211.0959, QPEps=39.4336)
Iter 120: .........*(NumConst=104, SV=67, CEps=789.4696, QPEps=49.1896)
Iter 121: *(NumConst=105, SV=65, CEps=274.6911, QPEps=45.4791)
Iter 122: *(NumConst=106, SV=67, CEps=174.6730, QPEps=47.5750)
Iter 123: *(NumConst=107, SV=68, CEps=115.2932, QPEps=46.3642)
Iter 124: *(NumConst=108, SV=67, CEps=104.5694, QPEps=46.2098)
Iter 125: .........*(NumConst=109, SV=67, CEps=1266.8081, QPEps=41.7271)
Iter 126: .........*(NumConst=110, SV=68, CEps=1093.3171, QPEps=43.5917)
Iter 127: *(NumConst=111, SV=67, CEps=205.0340, QPEps=39.3831)
Iter 128: .........*(NumConst=112, SV=62, CEps=853.1049, QPEps=48.0995)
Iter 129: *(NumConst=113, SV=57, CEps=229.7682, QPEps=48.8391)
Iter 130: *(NumConst=114, SV=59, CEps=161.6531, QPEps=36.4218)
Iter 131: *(NumConst=115, SV=64, CEps=118.1196, QPEps=45.6686)
Iter 132: .........*(NumConst=115, SV=63, CEps=1693.9617, QPEps=46.6323)
Iter 133: .........*(NumConst=116, SV=64, CEps=1223.2787, QPEps=49.9590)
Iter 134: *(NumConst=117, SV=65, CEps=243.0183, QPEps=41.9368)
Iter 135: .........*(NumConst=117, SV=62, CEps=817.2583, QPEps=48.2675)
Iter 136: *(NumConst=118, SV=63, CEps=253.5138, QPEps=45.2821)
Iter 137: *(NumConst=119, SV=62, CEps=215.5549, QPEps=49.5713)
Iter 138: *(NumConst=120, SV=63, CEps=184.4217, QPEps=48.9639)
Iter 139: *(NumConst=121, SV=64, CEps=108.6935, QPEps=46.2061)
Iter 140: .........*(NumConst=121, SV=63, CEps=1490.1204, QPEps=38.4593)
Iter 141: .........*(NumConst=121, SV=60, CEps=1003.0853, QPEps=48.2032)
Iter 142: *(NumConst=121, SV=61, CEps=206.6210, QPEps=47.7847)
Iter 143: *(NumConst=121, SV=62, CEps=101.4417, QPEps=42.0235)
Iter 144: .........*(NumConst=120, SV=67, CEps=832.2891, QPEps=44.5405)
Iter 145: *(NumConst=120, SV=62, CEps=299.3774, QPEps=48.7345)
Iter 146: *(NumConst=120, SV=64, CEps=186.7228, QPEps=48.2835)
Iter 147: *(NumConst=121, SV=65, CEps=92.4379, QPEps=44.5113)
Iter 148: .........*(NumConst=121, SV=64, CEps=980.3284, QPEps=48.6578)
Iter 149: *(NumConst=122, SV=63, CEps=108.7502, QPEps=36.3666)
Iter 150: .........*(NumConst=122, SV=63, CEps=770.1655, QPEps=47.9429)
Iter 151: *(NumConst=120, SV=60, CEps=197.0943, QPEps=47.6937)
Iter 152: .........*(NumConst=121, SV=60, CEps=791.0421, QPEps=48.0894)
Iter 153: *(NumConst=122, SV=62, CEps=163.0523, QPEps=44.8205)
Iter 154: *(NumConst=123, SV=64, CEps=161.5707, QPEps=47.1130)
Iter 155: *(NumConst=124, SV=62, CEps=123.7403, QPEps=38.1498)
Iter 156: *(NumConst=124, SV=64, CEps=81.6803, QPEps=37.5043)
Iter 157: .........*(NumConst=124, SV=63, CEps=1370.7140, QPEps=44.3505)
Iter 158: .........*(NumConst=125, SV=65, CEps=1034.7892, QPEps=48.6506)
Iter 159: *(NumConst=126, SV=68, CEps=336.9138, QPEps=49.2269)
Iter 160: .........*(NumConst=126, SV=68, CEps=880.4365, QPEps=32.9727)
Iter 161: *(NumConst=127, SV=69, CEps=156.9900, QPEps=45.8476)
Iter 162: *(NumConst=128, SV=67, CEps=92.6596, QPEps=38.0261)
